CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name
         1x                         |        0.0s        0.0s                         | cpt::handle_memset
         1x                         |        0.0s        0.0s                         | cpt::handle_new
         1x                         |        0.0s        0.0s                         | cpt::handle_property_asserts
         1x                         |        0.0s        0.0s                         | cpt::handle_shift_operations
         1x                         |        0.0s        0.0s                         | cpt::handle_smart_pointers
         1x                         |        0.0s        0.0s                         | cpt::handle_static_prop_waivechecks
         1x                         |        0.0s        0.0s                         | cpt::handle_sv_array_struct_ports
         1x                         |        0.5s        0.5s                         | cpt::handle_systemc_constructs
         1x                         |        0.0s        0.0s                         | cpt::handle_type_expr
         1x                         |        0.0s        0.0s                         | cpt::handle_user_cover
         1x                         |        0.0s        0.0s                         | cpt::handle_variadic_function
         1x                         |        0.0s        0.0s                         | cpt::handle_variadic_template
         1x                         |        0.0s        0.0s                         | cpt::identify_accumulators
         1x                         |        0.0s        0.0s                         | cpt::identify_full_case
         1x                         |        0.0s        0.0s                         | cpt::identify_unrolled_loops
         1x                         |        0.0s        0.0s                         | cpt::identify_wait_in_loops
         1x                         |        0.0s        0.0s                         | cpt::if_convert
         1x                         |        0.2s        0.2s                         | cpt::ignore_system_header_io
         3x                         |        0.0s        0.0s                         | cpt::infer_clock
         2x                         |        0.0s        0.0s                         | cpt::infer_power_up_values
         3x                         |        0.0s        0.0s                         | cpt::inline_functions
         1x                         |        0.0s        0.0s                         | cpt::inout_dir
         1x                         |        0.0s        0.0s                         | cpt::insert_acprobecall_for_cformalassert_top
         1x                         |        0.0s        0.0s                         | cpt::introduce_writes_for_roms
         1x                         |        0.0s        0.0s                         | cpt::is_gate_level_design
        10x                         |        0.0s        0.0s                         | cpt::linked
         4x                         |        0.0s        0.0s                         | cpt::linked_and_build
         1x                         |        0.0s        0.0s                         | cpt::loop_unroll
         2x                         |        0.0s        0.0s                         | cpt::mark_loop
         1x                         |        0.0s        0.0s                         | cpt::mark_loop_as_unroll_in_compiler_generated_functions
         1x                         |        0.0s        0.0s                         | cpt::mark_loop_in_acinit_array_as_unrolled
         1x                         |        0.0s        0.0s                         | cpt::mark_mem_sym
         1x                         |        0.0s        0.0s                         | cpt::markfullcase
         2x                         |        0.0s        0.0s                         | cpt::match_operand_widths
         1x                         |        0.0s        0.0s                         | cpt::mixed_lang_to_cpt
         1x                         |        0.0s        0.0s                         | cpt::move_defaultassigns_inctor_tofuncs
         2x                         |        0.0s        0.0s                         | cpt::mux_compaction
         1x                         |        0.0s        0.0s                         | cpt::natively_handle_ac_builtin_func
         2x                         |        0.0s        0.0s                         | cpt::nb2b
         2x                         |        0.0s        0.0s                         | cpt::normalize_negating_exprs
         1x                         |        0.0s        0.0s                         | cpt::normalize_negative_shifts
         1x                         |        0.0s        0.0s                         | cpt::order_con_statements
         1x                         |        0.0s        0.0s                         | cpt::post_elab_const_prop
         1x                         |        0.0s        0.0s                         | cpt::pre_inlining_const_prop
         1x                         |        0.2s        0.2s                         | cpt::pre_linking_traversals
         1x                         |        0.0s        0.0s                         | cpt::pre_process_composite_callexprs
         1x                         |        0.0s        0.0s                         | cpt::predicate_disables
         1x                         |        0.0s        0.0s                         | cpt::predicate_switch_stmts
         1x                         |        0.0s        0.0s                         | cpt::predicate_unrolled_loops
         2x                         |        0.0s        0.0s                         | cpt::prep_for_cdb
         1x                         |        0.0s        0.0s                         | cpt::preprocess4bb
         1x                         |        0.0s        0.0s                         | cpt::preprocess_non_orthogonal_unions
         1x                         |        0.0s        0.0s                         | cpt::prune_cover_stmt
         2x                         |        0.0s        0.0s                         | cpt::prune_dead_selects
         2x                         |        0.0s        0.0s                         | cpt::prune_selects
         1x                         |        2.5s        2.5s                         | cpt::read_cpp
         1x                         |        0.0s        0.0s                         | cpt::read_mixed_lang
         7x                         |        0.0s        0.0s                         | cpt::record_design_checks
         2x                         |        0.1s        0.1s                         | cpt::remove
         1x                         |        0.0s        0.0s                         | cpt::remove_acinitarray_for_symbolic_memories
         1x                         |        0.0s        0.0s                         | cpt::remove_bottom_hier_ctor_from_top
         1x                         |        0.0s        0.0s                         | cpt::remove_complete_bitranges
         2x                         |        0.0s        0.0s                         | cpt::remove_dead_assigns
         1x                         |        0.0s        0.0s                         | cpt::remove_init_for_symbolic_memories
         1x                         |        0.0s        0.0s                         | cpt::remove_propagated_consts
         1x                         |        0.0s        0.0s                         | cpt::remove_range_expr
         1x                         |        0.0s        0.0s                         | cpt::remove_redundant_selects
         1x                         |        0.0s        0.0s                         | cpt::remove_sc_int_upcasts
         2x                         |        0.0s        0.0s                         | cpt::remove_trailingstmts_after_jumpstmts
         1x                         |        0.0s        0.0s                         | cpt::remove_trivially_true_asserts
         1x                         |        0.0s        0.0s                         | cpt::remove_vh_abs
         1x                         |        0.0s        0.0s                         | cpt::remove_vhdl_mod
         1x                         |        0.0s        0.0s                         | cpt::remove_vhdl_unused_decls
         1x                         |        0.0s        0.0s                         | cpt::remove_vlog_unused_decls
         1x                         |        0.0s        0.0s                         | cpt::remove_x_assignments
         1x                         |        0.0s        0.0s                         | cpt::rename_param_modules
         1x                         |        0.0s        0.0s                         | cpt::rename_unions
         1x                         |        0.0s        0.0s                         | cpt::repeat2for
         1x                         |        0.0s        0.0s                         | cpt::replace_missing_assign_op_with_assignment
         4x                         |        0.0s        0.0s                         | cpt::report_hierarchy
         1x                         |        0.0s        0.0s                         | cpt::reset_probes
         1x                         |        0.0s        0.0s                         | cpt::reset_restr
         1x                         |        0.0s        0.0s                         | cpt::sanitize_resets
         1x                         |        0.0s        0.0s                         | cpt::sanity_check
         1x                         |        0.0s        0.0s                         | cpt::sensitivity_scan
         1x                         |        0.0s        0.0s                         | cpt::set_verilog_orig_types
         1x                         |        0.0s        0.0s                         | cpt::simplified_upscope_static_var_decls
         1x                         |        0.0s        0.0s                         | cpt::smash_array
         1x                         |        0.0s        0.0s                         | cpt::smash_mdim_array
         1x                         |        0.0s        0.0s                         | cpt::smash_record
         1x                         |        0.0s        0.0s                         | cpt::sv_handle_composites
         1x                         |        0.0s        0.0s                         | cpt::synthesize_ac_sc_fixed_logic
         1x                         |        0.0s        0.0s                         | cpt::synthesize_sequential_hierarchies
         1x                         |        0.0s        0.0s                         | cpt::synthesize_sva
         1x                         |        0.0s        0.0s                         | cpt::transfer_array_size_from_parent_to_child_hierarchy
         1x                         |        0.0s        0.0s                         | cpt::transfer_pragmas_to_properties
         1x                         |        0.0s        0.0s                         | cpt::transform_init_block
         1x                         |        0.0s        0.0s                         | cpt::transform_inits_to_assigns
         2x                         |        0.0s        0.0s                         | cpt::transform_mem_comb_read
         1x                         |        0.0s        0.0s                         | cpt::transform_seed_branch_coverage_targets
         1x                         |        0.0s        0.0s                         | cpt::transform_slice_write
         1x                         |        0.0s        0.0s                         | cpt::transform_std_function
         1x                         |        0.0s        0.0s                         | cpt::typecast_signed_shifts
         1x                         |        0.0s        0.0s                         | cpt::uniquify_bboxes_and_insert_probes
         1x                         |        0.0s        0.0s                         | cpt::uniquify_vars_in_function
         1x                         |        0.0s        0.0s                         | cpt::update_internal_assert_src_rel
         1x                         |        0.0s        0.0s                         | cpt::upscope_class_decls
         1x                         |        0.0s        0.0s                         | cpt::validate_link_design_top
         2x                         |        0.0s        0.0s                         | cpt::var_bit_range
         2x                         |        0.0s        0.0s                         | cpt::var_bit_sel
         1x                         |        0.0s        0.0s                         | cpt::vhdl_check_operand_widths
         1x                         |        0.0s        0.0s                         | cpt::vhdl_collate_packages
         1x                         |        0.0s        0.0s                         | cpt::vhdl_handle_clock
         1x                         |        0.0s        0.0s                         | cpt::vlog_add_missing_actuals
         1x                         |        0.0s        0.0s                         | cpt::vlog_add_missing_instance_names
         1x                         |        0.0s        0.0s                         | cpt::vlog_downscope_packages
         1x                         |        0.0s        0.0s                         | cpt::vlog_elab_types
         1x                         |        0.0s        0.0s                         | cpt::vlog_fix_symbol_info
         1x                         |        0.0s        0.0s                         | cpt::wait_restr
         1x                         |        0.0s        0.0s                         | cpt::xform_user_asserts
         2x                         |        0.0s        0.0s                         | create_constraint
         1x                         |        0.0s        0.0s                         | create_map
         2x                         |        0.0s        0.0s                         | create_waveform
         1x                         |        0.0s        0.0s                         | create_zero
         2x                         |        0.0s        0.0s                         | derive_clock_domain
         1x                         |        0.0s        0.0s                         | destroy_mapdb
         2x                         |        0.0s        0.0s                         | disable_msg
         2x                         |        0.0s        0.0s                         | do_apply_map_post_spatial_analysis
         2x                         |        0.0s        0.0s                         | do_apply_map_pre_spatial_analysis
         7x                         |        0.0s        0.0s                         | do_consistency_check
         1x                         |        0.0s        0.0s                         | do_normalize
         1x                         |        0.0s        0.0s                         | do_obtain_reset
         2x                         |        0.0s        0.0s                         | do_optimize
         1x                         |        0.0s        0.0s                         | do_post_opt_reporting
         1x                         |        0.0s        0.0s                         | do_sim_based_validation
         1x                         |        0.4s        0.4s                         | do_solve
         1x                         |        0.0s        0.0s                         | do_spatial_analysis_on_maps_constraints
         1x                         |        0.0s        0.0s                         | finalize_flopmaps_converted_into_output_maps
         1x                         |        0.0s        0.0s                         | finalize_inductive_state_flop_maps
        54x                         |        0.0s        0.0s                         | find
       325x                         |        0.0s        0.0s                         | get_cpu_usage
      1300x                         |        0.0s        0.0s                         | get_global
         3x                         |        0.0s        0.0s                         | get_info
       323x                         |        0.0s        0.0s                         | get_mem_usage
       132x                         |        0.0s        0.0s                         | get_process_usage
         1x                         |        0.0s        0.0s                         | get_trans_pair
         3x                         |        0.0s        0.0s                         | get_version
         1x                         |        0.0s        0.0s                         | launch_ecs_subsessions
         2x                         |        2.1s        2.0s                         | link_design
         1x                         |        0.0s        0.0s                         | list_properties
         1x                         |        0.0s        0.0s                         | obtain_mapped_values_for_flops
         4x                         |        0.0s        0.0s                         | optimize_post_reset
         1x                         |        0.0s        0.0s                         | preserve_important_signals
         1x                         |        0.0s        0.0s                         | print_engine_sequence
         1x                         |        0.0s        0.0s                         | print_excluded_properties
         2x                         |        0.0s        0.0s                         | print_status
         1x                         |        0.0s        0.0s                         | print_summary
         1x                         |        0.1s        0.1s                         | print_verify_results
         1x                         |        0.0s        0.0s                         | process_cffm_arguments
         1x                         |        0.0s        0.0s                         | prune_unmapped_fanin_cone
         3x                         |        0.0s        0.0s                         | query_status
         2x                         |        2.5s        2.5s                         | read_design
         1x                         |        2.5s        2.5s                         | read_systemc
         1x                         |        0.0s        0.0s                         | read_verilog
         2x                         |        0.0s        0.0s                         | report_characteristics
         1x                         |        0.0s        0.0s                         | report_mapping
         1x                         |        0.0s        0.0s                         | report_reset_flops
         1x                         |        0.0s        0.0s                         | set_clock_domain
       191x                         |        0.0s        0.0s                         | set_global
         3x                         |        0.0s        0.0s                         | set_property
         1x                         |        0.0s        0.0s                         | set_reset_length
         1x                         |        0.0s        0.0s                         | set_verification_effort
         1x                         |        0.0s        0.0s                         | set_verification_mode
       575x                         |        6.7s        4.6s                         | source
         1x                         |        0.0s        0.0s                         | ta_fix_data_latches
         1x                         |        0.0s        0.0s                         | ta_fix_setup_violation
       577x                         |        6.7s        4.6s                         | tcl_source
         1x                         |        0.6s        0.6s                         | verify
         1x                         |        0.0s        0.0s                         | verify_init
         2x                         |        0.1s        0.0s                         | write_db
         1x                         |        0.0s        0.0s                         | write_pristine_db


=== Counters ========================================================================================================================================

         0x | BDD::NumAborted
         0x | BDD::NumBypassed
         0x | BDD::NumFalsifiedwCtrEx
         0x | BDD::NumFalsifiedwoCtrEx
         0x | BDD::NumPosed
         0x | BDD::NumProved
         0x | BDD::NumSent
         0x | BDD::NumTriviallyProved
         0x | BDD::NumUnresolved
         0x | BLS::NumProbsAborted
         0x | BLS::NumProbsFalsified
         0x | BLS::NumProbsPosed
         0x | BLS::NumProbsProved
         0x | ESS::NumProbsAborted
         0x | ESS::NumProbsFalsified
         0x | ESS::NumProbsPosed
         0x | ESS::NumProbsProved
         5x | ExprManager::constructor
